bshare,TSGMMcueMC
0.04,273.0812989806093
0.0405,250.80100283119614
0.041,229.50795391080214
0.0415,208.87105981571514
0.042,189.80805145746277
0.0425,171.408029672632
0.043,151.8837018737202
0.0435,135.10264395975523
0.044,122.0256874100618
0.0445,107.26920946951114
0.045,90.47767668429275
0.0455,75.9410947523594
0.046,65.35659034418251
0.0465,59.09832499415503
0.047,49.42034910167863
0.0475,40.702322344984665
0.048,32.96795964807037
0.0485,26.194341384532333
0.049,20.106686654657782
0.0495,15.553491177880641
0.05,11.686493988937132
0.0505,8.787544645691113
0.051,6.858148297476997
0.0515,5.896601039576321
0.052,5.904057385949755
0.0525,6.8800103745848995
0.053,8.825198288019726
0.0535,11.73914349020173
0.054,15.619083420894482
0.0545,20.470251609629337
0.055,26.28930633584209
0.0555,32.820559353572996
0.056,40.73905206582705
0.0565,48.361976372153734
0.057,58.22071781078726
0.0575,69.91450757360504
0.058,81.54843142808593
0.0585,94.14979063444301
0.059,107.72027428727924
0.0595,122.26057973192069
0.06,137.75387673766556
