bshare,TSGMMcueMC
0.04,112.24229063704702
0.0405,92.17621399328071
0.041,79.75269735654464
0.0415,64.14795530633697
0.042,51.3378845437791
0.0425,39.69033825507088
0.043,29.759130111222564
0.0435,21.49464809693782
0.044,15.019333903481549
0.0445,10.262538255332935
0.045,7.195671365404718
0.0455,5.845454870449331
0.046,6.210967565880896
0.0465,8.293151764314038
0.047,10.607473957525329
0.0475,17.604757905841776
0.048,23.323327235937853
0.0485,32.67723649799946
0.049,44.315633624044004
0.0495,56.20324497574929
0.05,70.74736822930191
0.0505,86.72484275057897
0.051,104.2513224153775
0.0515,123.49642329125292
0.052,144.45635748095714
0.0525,167.13174117866
0.053,191.51430954730048
0.0535,217.62577171050683
0.054,245.45033992395847
0.0545,274.97240374134304
0.055,306.24838877127127
0.0555,339.2365480383473
0.056,373.8956107597104
0.0565,410.30719351952825
0.057,448.4444630038968
0.0575,488.2597619559835
0.058,529.8149403804761
0.0585,573.0966028658041
0.059,618.052624956963
0.0595,664.7651361871566
0.06,713.200918605284
