bshare,TSGMMcueMC
0.04,332.3828267462437
0.0405,310.40447134412824
0.041,289.18001523825467
0.0415,268.7340634758217
0.042,249.04570643700453
0.0425,230.12639775754678
0.043,211.97519658727646
0.0435,194.2189220711756
0.044,177.96707703980456
0.0445,162.10602816522078
0.045,147.0260404072532
0.0455,130.30133826417435
0.046,116.43898966010607
0.0465,106.01200166523904
0.047,92.29866202082594
0.0475,82.66861180188782
0.048,71.7525120959763
0.0485,62.83121241084967
0.049,53.86533744036377
0.0495,45.66791396875831
0.05,38.23531486778193
0.0505,31.56661229692181
0.051,24.603206484675706
0.0515,15.179467782485977
0.052,11.089236484013943
0.0525,12.557384241025916
0.053,9.718408290662287
0.0535,7.646208961132964
0.054,6.339197617628589
0.0545,5.797993286762092
0.055,6.022673437379902
0.0555,7.013091501447339
0.056,8.769185821250247
0.0565,11.29047001654195
0.057,14.578594138619565
0.0575,18.631592405201967
0.058,23.452680610773236
0.0585,28.924034245396665
0.059,34.56086351174109
0.0595,41.78532506935593
0.06,50.18679635232799
