bshare,TSGMMcueMC
0.04,145.71990108544307
0.0405,120.55221699443521
0.041,103.59632658030147
0.0415,86.47564952018375
0.042,75.06044475344873
0.0425,61.236855848939186
0.043,48.94992091479719
0.0435,38.200580689020654
0.044,28.98635926943502
0.0445,21.015446816854375
0.045,15.083199686511314
0.0455,10.563460319694432
0.046,7.495641014830601
0.0465,5.96440645505127
0.047,5.969681598517202
0.0475,7.511795507809406
0.048,10.59017098089135
0.0485,14.13352554621958
0.049,21.356079538275672
0.0495,27.9447166750374
0.05,38.01442996496777
0.0505,48.937766147059996
0.051,59.66903394100683
0.0515,75.16520874385772
0.052,90.53475504838354
0.0525,107.4357841714418
0.053,125.8860092550793
0.0535,145.86841482317138
0.054,167.38409424415292
0.0545,190.44243119961033
0.055,215.0194889518899
0.0555,241.1550642964785
0.056,268.813033954841
0.0565,298.0102826713053
0.057,328.75558454119107
0.0575,361.0219051946684
0.058,394.8360390213103
0.0585,430.19368296095
0.059,467.0602255680894
0.0595,505.4964939223861
0.06,545.4461921522842
