bshare,TSGMMcueMC
0.04,38.53809134009964
0.0405,27.283018207931168
0.041,18.372125614218277
0.0415,11.853169812529242
0.042,7.676936403951664
0.0425,5.861162838026143
0.043,6.404885882811315
0.0435,9.308202669421798
0.044,13.74053248666968
0.0445,22.194887624655536
0.045,31.150826459470167
0.0455,43.62621239553194
0.046,57.93645585102014
0.0465,76.24932712099398
0.047,95.08505035927446
0.0475,117.48374239941687
0.048,141.62505588166587
0.0485,168.12237390612484
0.049,196.9894702309803
0.0495,228.20470770479827
0.05,261.79063054706637
0.0505,297.7291681466458
0.051,336.0237965271507
0.0515,376.68223395625927
0.052,419.70856405121964
0.0525,465.08641280012404
0.053,512.8151010432182
0.0535,562.9184181348755
0.054,615.3750492486155
0.0545,670.1890430772481
0.055,727.3672376493315
0.0555,786.9120948391738
0.056,848.8287429966699
0.0565,913.0393635088026
0.057,979.6689246271917
0.0575,1048.6786700788819
0.058,1119.9694629302676
0.0585,1193.676575766396
0.059,1269.7805622226258
0.0595,1348.1463486172995
0.06,1428.8636967480381
