bshare,TSGMMcueMC
0.04,207.94819866360382
0.0405,188.11411506325993
0.041,159.13844639773697
0.0415,148.31233037639367
0.042,130.24677379265643
0.0425,105.38057485949005
0.043,93.2545653932247
0.0435,78.64678066353756
0.044,70.17484013327737
0.0445,58.23158614177218
0.045,47.56084042187379
0.0455,38.04334590814316
0.046,29.784249303570704
0.0465,22.441578085539245
0.047,16.823583557875377
0.0475,12.297978796874007
0.048,8.915322054221564
0.0485,6.756685806268945
0.049,5.8213584474029
0.0495,6.109532731048366
0.05,7.621819075541443
0.0505,10.357176964160463
0.051,12.992403520258076
0.0515,18.120435939878096
0.052,25.324419756183858
0.0525,33.46632119339515
0.053,42.20506681742609
0.0535,52.37649827685202
0.054,63.15106402015062
0.0545,76.28428582920608
0.055,90.02875858725386
0.0555,105.00131196297446
0.056,121.19064505472299
0.0565,138.62131680567228
0.057,157.25261937684442
0.0575,177.10810543195876
0.058,198.2026859409633
0.0585,220.51847262940478
0.059,244.04430910305737
0.0595,268.8075310701038
0.06,294.7907260751728
