bshare,TSGMMcueMC
0.04,241.83596581341655
0.0405,219.42801911703108
0.041,198.4203648238734
0.0415,178.70254959220213
0.042,156.51130774375724
0.0425,138.4826840968794
0.043,125.37411396856082
0.0435,104.22265295168904
0.044,91.21097908813172
0.0445,75.70498574775688
0.045,69.4899333426246
0.0455,58.282108445778384
0.046,48.131042155487386
0.0465,39.06868135533569
0.047,31.097495147519695
0.0475,24.21443030656819
0.048,18.345014822988645
0.0485,13.71752374800229
0.049,10.102813737187677
0.0495,7.577490941074929
0.05,6.141476619905597
0.0505,5.794931910316077
0.051,6.537632302384772
0.0515,8.369829355780913
0.052,11.291055215974426
0.0525,15.30129149690397
0.053,20.401773444489194
0.0535,25.949485887962744
0.054,33.377069187801496
0.0545,42.17018816236153
0.055,50.10469973267066
0.0555,61.70096913542488
0.056,73.87968512244636
0.0565,86.60715589687953
0.057,100.41972543316508
0.0575,115.3246015070727
0.058,131.31772287400983
0.0585,148.39798872956393
0.059,166.56913935648797
0.0595,185.84043433699682
0.06,206.19420703268108
