bshare,TSGMMcueMC
0.04,55.4894446262129
0.0405,46.35070490522525
0.041,34.27323269492958
0.0415,24.325355326229584
0.042,16.43174284752115
0.0425,10.811231342049698
0.043,7.246341721483982
0.0435,5.809114644322952
0.044,6.4995079456029075
0.0445,9.318062089922723
0.045,14.263059082049116
0.0455,21.338519166056766
0.046,29.60928183340408
0.0465,41.66837616619567
0.047,54.71444025469986
0.0475,69.75012036939306
0.048,87.59039403894279
0.0485,108.46038950745809
0.049,130.4303346793373
0.0495,154.5311221876122
0.05,180.75317246689295
0.0505,209.1069124513242
0.051,239.58579798787042
0.0515,272.19069394692724
0.052,306.9268652411384
0.0525,343.79526695438886
0.053,382.7827574938067
0.0535,423.8967693667102
0.054,467.1442029706599
0.0545,512.5288771466038
0.055,560.0105470122917
0.0555,609.643087207536
0.056,661.4164658227081
0.0565,715.2849722052212
0.057,771.3148169893979
0.0575,829.4538409435779
0.058,889.7171136511097
0.0585,952.1248107127601
0.059,1016.6265150127189
0.0595,1083.2966950705686
0.06,1152.0548741412101
