model,MAE_L1,Median_L1,P90_L1,Top1_acc,NearAllIn_pred>=90,NearAllIn_true>=90
Rule-based (CV narrative rules),31.335974025974025,18.5,83.222,0.551948051948052,0.045454545454545456,0.09090909090909091
Afriat per-t δ_t + tie-break (closest to anchor) + 0.1-share grid,47.80012987012987,31.820000000000007,115.87800000000021,0.538961038961039,0.09740259740259741,0.09090909090909091
Baseline (mean-share scaling),52.50714285714286,33.82000000000001,134.344,0.44155844155844154,0.0,0.09090909090909091
Afriat per-t δ_t + 0.1-share postprocess,52.661688311688316,43.669999999999995,111.56000000000003,0.4935064935064935,0.12987012987012986,0.09090909090909091
Afriat global δ + 0.1-share postprocess,58.69792207792209,53.42999999999999,121.64600000000002,0.45454545454545453,0.18181818181818182,0.09090909090909091
Afriat + per-t δ_t (additive),58.75597402597401,50.73,127.07000000000002,0.525974025974026,0.08441558441558442,0.09090909090909091
Afriat + global δ (additive),64.14792207792208,58.72,134.62199999999999,0.44155844155844154,0.14285714285714285,0.09090909090909091
