subject,ratio50,L1_baseline,L1_rule_based,L1_afriat_slack,top1_baseline,top1_rule_based,top1_afriat_slack,max_true,max_af,max_rb,max_base,delta
625,1.8685968819599108,19.619999999999997,9.22000000000001,18.200000000000003,1,1,1,38.2,37.94,33.82,45.78,0.31536975585361304
626,1.1039570102589153,8.960000000000006,10.319999999999999,121.32,1,0,0,34.58,93.62,37.66,36.74,9.237433015847708
627,2.4884437596302007,144.94,123.38,27.34,0,1,1,94.63,84.16,33.33,45.66,7.280404919809453
628,1.7326480665687714,7.38,33.160000000000004,69.72,1,1,0,52.74,42.11,36.28,49.18,0.0
629,1.670089649551752,142.92000000000002,2.4599999999999898,54.08,0,1,1,98.65,71.81,99.88,53.06,0.0
630,2.1167990425416168,109.60000000000001,24.900000000000002,8.659999999999997,0,0,0,51.86,51.94,44.3,55.19,2.3521054773054475
631,1.3517789553368662,11.659999999999993,29.319999999999993,62.04,1,0,0,37.86,54.85,41.08,35.15,9.2759404200622
632,2.066950643578109,7.8,10.159999999999998,56.839999999999996,1,1,0,45.98,44.73,41.07,42.36,5.005735256801638e-06
700,1.1143720748829953,10.620000000000003,28.600000000000005,70.18,0,0,0,34.81,54.24,40.34,36.06,5.344373872823656
701,8.728682170542637,136.60000000000002,28.04,58.080000000000005,0,0,0,46.32,70.69,40.58,79.51,3.716791665008424
702,3.7295477295477295,54.7,20.48,82.64,1,1,0,40.98,56.04,35.25,68.33,3.816969413082752e-06
703,1.3486020681731137,0.3600000000000038,0.30000000000000115,2.079999999999992,1,1,1,38.91,38.49,38.91,39.02,0.8510042633080585
704,2.5376856036152353,5.099999999999998,1.959999999999996,25.740000000000002,1,1,1,49.69,41.68,49.06,48.81,4.762407385117939
705,3.24585183454078,13.500000000000002,25.88,88.08000000000001,1,0,0,49.17,47.96,40.55,48.78,1.3633487273908145
706,5.914465512958516,46.84,35.72,134.57999999999998,1,1,0,41.43,88.01,59.29,53.24,2.1714024943462333
707,2.5589820359281434,110.92,88.36,65.84,0,0,1,74.45,57.12,41.83,44.97,3.297246040702035
708,2.662066586165258,45.16,13.540000000000001,134.64,0,0,0,37.74,25.65,37.96,49.31,0.0
800,1.2586425339366516,29.020000000000003,16.580000000000002,94.2,0,1,0,46.85,62.38,38.79,35.52,1.1558052861646355
801,4.84537895746722,21.639999999999993,5.459999999999999,155.18,1,1,0,55.45,19.54,58.18,65.02,4.498338627577777
802,4.788947553678282,1.639999999999993,52.66,68.32,1,0,1,53.06,79.25,40.32,53.41,6.071697267397193
803,6.297611940298508,31.100000000000005,32.49999999999999,126.57999999999998,1,1,0,62.66,59.41,60.13,70.84,2.934917055883541
804,1.8660940854967791,0.7199999999999995,1.0799999999999992,75.68,1,1,0,41.3,60.59,41.68,41.4,9.922685099196384
805,2.071336824424464,42.00000000000001,9.239999999999997,75.98,0,1,1,38.46,76.45,37.85,43.11,7.205011664604477
806,1.7329893360853112,48.68000000000001,23.340000000000007,58.6,0,0,0,47.38,42.71,37.03,50.22,4.469647350696244
807,2.520210565895845,1.56,1.6000000000000099,23.139999999999997,1,1,1,46.65,40.2,47.45,47.0,2.3802079149785618
808,1.6544074147111023,29.12,13.079999999999998,24.939999999999998,0,0,0,39.76,37.12,33.33,38.15,5.5245613549731085e-06
809,1.19641989308278,21.499999999999993,17.439999999999994,34.199999999999996,0,0,0,37.8,31.78,35.75,37.78,3.419706049653996e-06
810,1.3970347383846222,3.119999999999999,7.579999999999999,8.04,1,1,0,37.16,35.68,37.7,38.72,2.048394526196658e-06
811,1.06750169679768,39.62,34.96,25.599999999999994,0,0,0,47.97,43.23,34.78,37.11,6.236627057845556
812,1.6546522844865386,2.36,1.5000000000000002,1.6999999999999995,1,1,1,43.4,44.19,44.15,42.4,0.0
900,1.1888747884940776,40.620000000000005,42.36,33.260000000000005,0,0,1,51.06,34.57,36.76,35.3,6.013785982848332
901,2.5027154870357395,90.98000000000002,38.5,102.52000000000001,0,0,0,48.92,100.0,59.13,47.49,2.1993738227324453
902,1.5668117418279468,13.52,6.819999999999999,66.36,0,0,0,37.99,54.52,36.55,40.73,2.085293807993971e-06
903,1.2616475354490209,130.74,113.41999999999999,84.78,0,1,1,99.17,57.46,42.53,35.42,10.291863509252078
904,1.896962680468537,10.120000000000001,51.38,97.10000000000001,1,0,0,45.6,74.25,51.39,43.8,4.826028424471645e-06
905,1.2330827067669174,68.78,43.12,61.62,0,1,1,59.73,78.3,38.49,43.72,0.0
906,1.0462196861626247,54.89999999999999,49.699999999999996,86.02,0,0,0,57.05,62.58,34.07,35.15,3.2098625409742376
907,5.417817414652858,39.459999999999994,16.260000000000005,95.84,1,1,0,44.07,68.05,40.11,63.8,2.1810772615045293
908,1.6892487889523533,41.68000000000001,4.200000000000003,21.96,0,1,1,44.54,53.06,44.4,43.74,2.515930816981246e-06
909,5.127831871204087,3.5199999999999987,133.46000000000004,144.20000000000002,1,0,0,71.81,83.59,49.82,70.34,1.9562233928639894e-06
910,1.3922465208747516,15.500000000000007,11.239999999999993,28.379999999999995,1,1,0,38.8,46.89,33.33,39.96,0.0
911,1.5745461759746056,3.399999999999994,3.940000000000002,64.39999999999999,1,1,0,42.7,62.42,41.43,43.29,1.0245731395862165
912,4.925032234297292,132.84,42.74,58.839999999999996,0,1,1,70.58,100.0,49.62,66.42,0.7653787044028066
913,3.910649760199724,97.2,48.8,19.540000000000003,0,0,1,47.0,53.69,33.33,57.53,5.772184282773446
914,1.8336276240926033,13.919999999999998,0.859999999999999,41.96,1,1,0,45.42,46.16,45.61,41.45,1.2969937315272773e-05
915,3.8030873493975905,122.1,36.35999999999999,13.299999999999994,0,0,1,54.72,61.37,41.43,61.05,0.0
916,4.65448122264035,101.28,104.24,135.76,0,0,0,67.71,61.66,52.73,51.25,2.7411090184452503e-06
917,7.074559150830337,82.82,11.559999999999992,77.6,0,1,1,46.73,38.39,41.24,60.42,0.0
918,2.0446942692624073,11.880000000000006,7.160000000000001,61.03999999999999,1,1,0,45.41,59.58,48.55,51.35,6.360245977411481
919,1.3558499855198378,14.900000000000007,9.920000000000002,16.799999999999997,1,1,1,39.89,37.52,39.7,47.34,1.4844455269847138e-05
920,5.976047904191617,20.040000000000003,21.559999999999995,161.26,1,1,0,59.88,98.47,70.66,69.9,1.932091505265333e-06
921,7.258925564163017,75.2,5.840000000000002,103.58,1,1,0,41.38,50.06,38.79,78.98,0.0
922,5.553465783664459,76.59999999999998,67.94,77.08,0,0,1,39.98,78.52,67.3,71.63,5.6393807692087654e-06
923,2.6821673240606185,50.080000000000005,17.080000000000005,67.68,0,0,0,43.06,33.38,35.67,54.5,0.0
