subject,rule,cv_L1,ratio50
703,knn_shares_k7,0.7412244897959179,1.3486020681731137
129,share_anchor,0.9485714285714293,7.968127490039841
339,equal_dollar,4.451632653061223,2.7282113821138214
109,equal_share,4.9767346938775505,2.549231821857312
325,knn_shares_k7,5.125510204081631,3.460456811249163
921,logshare_reg,5.460204081632654,7.258925564163017
801,knn_shares_k7,5.544897959183672,4.84537895746722
920,equal_share,6.538571428571428,5.976047904191617
629,all_in_cheapest,6.662040816326533,1.670089649551752
306,knn_shares_k7,7.149591836734692,1.2144014255629354
910,equal_dollar,8.915102040816326,1.3922465208747516
708,logshare_reg,9.053265306122448,2.662066586165258
812,equal_share,9.945714285714287,1.6546522844865386
436,equal_share,11.00857142857143,2.764458124088774
340,knn_shares_k7,11.321836734693877,1.922240885288015
807,equal_share,11.331836734693878,2.520210565895845
438,logshare_reg,11.612244897959183,4.113413715146947
337,equal_share,11.856734693877552,1.2951173708920187
609,knn_shares_k7,11.875918367346937,1.6554563698013978
520,hybrid_gate_tau4.5_knn1,12.331020408163266,2.166677716634622
911,knn_shares_k5,12.583061224489795,1.5745461759746056
616,share_anchor,12.819795918367348,1.5826006806579693
320,hybrid_gate_tau5.5_knn1,13.00612244897959,1.5607934997437962
418,knn_shares_k5,13.129183673469388,1.5925892777230826
615,share_anchor,13.55408163265306,2.1862112387848263
612,knn_shares_k5,13.956326530612245,2.1157932263814616
804,equal_share,14.056734693877553,1.8660940854967791
922,knn_shares_k7,14.109591836734692,5.553465783664459
704,equal_share,14.368571428571428,2.5376856036152353
909,knn_shares_k1,14.385918367346939,5.127831871204087
604,logshare_reg,14.441632653061225,1.3755221109858782
322,knn_shares_k5,14.560612244897957,7.7592769618493085
331,logshare_reg,15.01265306122449,1.2744631844862173
610,logshare_reg,15.15877551020408,1.9119015047879617
810,logshare_reg,15.402857142857144,1.3970347383846222
124,hybrid_gate_tau4.5_knn3,15.984081632653062,1.080326107564937
527,knn_shares_k7,16.21265306122449,1.8754241994200036
902,knn_shares_k3,16.431836734693878,1.5668117418279468
607,logshare_reg,16.589795918367347,2.5214628635978538
502,logshare_reg,16.648979591836735,1.4581871884807092
917,logshare_reg,16.690408163265307,7.074559150830337
439,logshare_reg,16.807755102040815,4.174171842650103
628,logshare_reg,17.030408163265307,1.7326480665687714
