subject,rule,cv_L1,ratio50
542,knn_shares_k3,35.152857142857144,1.247211518961671
614,logshare_reg,35.28448979591837,3.029902557856273
611,equal_dollar,36.23244897959184,2.9582976736948567
912,logshare_reg,36.378775510204086,4.925032234297292
317,equal_dollar,36.67102040816326,2.521714922048998
143,logshare_reg,36.73612244897959,2.840540790813964
919,knn_shares_k3,37.00142857142857,1.3558499855198378
630,knn_shares_k3,37.40469387755102,2.1167990425416168
626,logshare_reg,38.19163265306122,1.1039570102589153
402,logshare_reg,39.39632653061225,2.8156326331216412
434,knn_shares_k5,39.465510204081625,2.7963276153660304
602,knn_shares_k1,39.46612244897959,1.4608147837043262
631,logshare_reg,40.09918367346939,1.3517789553368662
904,logshare_reg,40.236326530612246,1.896962680468537
424,equal_dollar,40.7804081632653,9.699000999001
913,equal_dollar,41.23020408163265,3.910649760199724
529,logshare_reg,41.25857142857143,5.14388798213212
524,logshare_reg,41.299183673469386,2.867495604119568
903,logshare_reg,41.73285714285714,1.2616475354490209
128,logshare_reg,42.38387755102042,1.2291626000390397
431,equal_dollar,43.053877551020406,5.9316705637828
426,hybrid_gate_tau5.5_knn1,44.109183673469374,2.155830828996555
700,hybrid_gate_tau4.5_knn1,44.70979591836735,1.1143720748829953
423,logshare_reg,44.73673469387755,1.0632700274385323
627,equal_dollar,44.75714285714285,2.4884437596302007
333,knn_shares_k5,47.321020408163264,1.5547112462006079
311,all_in_cheapest,47.749591836734695,5.319282982074552
918,knn_shares_k1,48.201836734693885,2.0446942692624073
901,logshare_reg,48.35612244897959,2.5027154870357395
305,logshare_reg,50.069387755102035,1.2324441240086519
517,hybrid_gate_tau5.5_knn3,52.105714285714285,3.178649055341916
427,equal_dollar,53.89795918367347,1.4236875262494753
437,logshare_reg,54.90938775510204,1.5736014872401556
442,logshare_reg,56.32040816326531,1.094783313812055
413,hybrid_gate_tau3.5_knn1,57.18244897959184,1.1365505156028846
541,all_in_cheapest,62.41795918367347,8.607462686567164
334,logshare_reg,64.53857142857143,4.4135352946888045
121,logshare_reg,66.24102040816327,2.5793445878848065
