model,rule,train_CV_L1,mean_L1_test_26_49,top1_acc_test_26_49,L1_t50,top1_t50
Narrative rule,equal_share,6.2076,6.883333333333333,0.875,21.559999999999995,1
Afriat (δ_t + tie-break),—,—,35.55416666666667,0.5,68.46000000000001,0
