model,MAE_L1,Median_L1,P90_L1,Top1_acc,NearAllIn_true>=90,NearAllIn_pred>=90
Baseline (mean-share scaling),52.50714285714286,33.82000000000001,134.344,0.44155844155844154,0.09090909090909091,0.0
Rule-based selection (CV over rule library),31.335974025974025,18.5,83.222,0.551948051948052,0.09090909090909091,0.045454545454545456
