subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
436,1,2.764458124088774,22.97,20.88,23.59,2.710000000000001,0.0,1,21.65,1.3200000000000003,1,0
437,1,1.5736014872401556,0.93,23.35,28.32,4.969999999999999,22.42,0,39.92,38.99,0,1
438,1,4.113413715146947,35.55,2.66,13.99,11.33,21.559999999999995,0,18.13,17.419999999999998,0,1
439,1,4.174171842650103,38.57,0.53,75.23,74.7,0.0,1,12.78,25.79,1,0
440,1,1.5586249999999997,13.22,10.42,10.42,0.0,2.8000000000000007,0,30.74,17.519999999999996,0,1
441,1,8.25676432170181,38.91,63.89,63.89,0.0,24.980000000000004,0,9.28,29.629999999999995,0,1
442,1,1.094783313812055,65.82,21.99,55.47,33.480000000000004,10.349999999999994,0,33.97,31.849999999999994,1,1
443,1,5.065474254742548,49.82,100.0,100.0,0.0,50.18,0,5.34,44.480000000000004,0,1
501,1,1.8863545816733067,78.6,21.27,40.16,18.889999999999997,38.44,0,52.53,26.069999999999993,0,1
502,1,1.4581871884807092,31.6,18.45,32.06,13.610000000000003,0.0,1,39.86,8.259999999999998,0,0
510,1,2.8433012466466785,21.08,0.0,0.0,0.0,21.08,0,56.24,35.160000000000004,0,1
513,1,5.091525630842549,27.92,61.33,80.32,18.989999999999995,33.41,0,14.42,13.500000000000002,0,1
517,1,3.178649055341916,23.19,8.95,10.6,1.6500000000000004,12.590000000000002,0,50.37,27.179999999999996,0,1
520,1,2.166677716634622,26.55,19.08,19.08,0.0,7.470000000000002,0,21.48,5.07,0,1
522,1,1.7777473780209758,32.68,35.94,41.65,5.710000000000001,3.259999999999998,0,28.7,3.9800000000000004,0,1
524,1,2.867495604119568,0.0,0.0,0.0,0.0,0.0,1,32.78,32.78,0,0
527,1,1.8754241994200036,40.43,8.44,11.87,3.4299999999999997,28.560000000000002,0,43.09,2.6600000000000037,0,1
529,1,5.14388798213212,0.6,63.82,63.82,0.0,63.22,0,66.9,66.30000000000001,0,1
530,1,1.9054768288012254,0.25,14.09,17.31,3.219999999999999,13.84,0,50.66,50.41,0,1
536,1,1.5860720603295781,38.16,17.72,17.91,0.19000000000000128,20.249999999999996,0,39.29,1.1300000000000026,0,1
