model,MAE_L1,Median_L1,P90_L1,Top1_acc,NearAllIn_pred>=90
Rule-based selection (CV library),31.335974025974025,18.5,83.222,0.551948051948052,0.045454545454545456
Baseline (mean-share scaling),52.50714285714286,33.82000000000001,134.344,0.44155844155844154,0.0
Afriat (concave utility) w/ minimal additive slack,64.14792207792208,58.72,134.62199999999999,0.44155844155844154,0.14285714285714285
